,type,rollover,reset,rolloverResetAmount,id,budgetDate,amount,budgetAmount,subsumed,performanceStatus,createdDate,lastUpdatedDate,category.id,category.name,category.categoryType,category.parentId,category.parentName,budgetAdjustmentAmount
0,MonthlyBudget,False,False,0.0,27706482_228695004,2022-11-01,13.45,30.0,False,UNDER,2022-11-01T07:00:00Z,2022-11-03T16:37:08Z,27706482_701,Groceries,EXPENSE,7,Food & Dining,
1,MonthlyBudget,False,False,0.0,27706482_228695002,2022-11-01,143.55,0.0,False,OVERBUDGET,2022-11-01T07:00:00Z,2022-11-05T19:08:09Z,27706482_707,Restaurants,EXPENSE,7,Food & Dining,
2,MonthlyBudget,False,False,0.0,27706482_228695003,2022-11-01,2667.86,80.0,False,UNDER,2022-11-01T07:00:00Z,2022-11-05T22:15:18Z,27706482_3001,Paycheck,INCOME,30,Income,
3,MonthlyBudget,True,False,0.0,27706482_228695001,2022-11-01,7681.14,50.0,False,OVERBUDGET,2022-11-01T07:00:00Z,2022-11-05T19:08:09Z,27706482_2,Shopping,EXPENSE,0,Root,-7663.76
4,MonthlyBudget,False,False,0.0,27706482_227786681,2022-10-01,343.63,30.0,False,OVERBUDGET,2022-10-01T07:00:00Z,2022-10-28T09:43:49Z,27706482_701,Groceries,EXPENSE,7,Food & Dining,
5,MonthlyBudget,False,False,0.0,27706482_227786684,2022-10-01,172.26,0.0,False,OVERBUDGET,2022-10-01T07:00:00Z,2022-11-03T00:30:05Z,27706482_707,Restaurants,EXPENSE,7,Food & Dining,
6,MonthlyBudget,False,False,0.0,27706482_227786683,2022-10-01,5909.26,80.0,False,UNDER,2022-10-01T07:00:00Z,2022-10-22T00:30:10Z,27706482_3001,Paycheck,INCOME,30,Income,
7,MonthlyBudget,True,False,0.0,27706482_227786682,2022-10-01,7713.76,50.0,False,OVERBUDGET,2022-10-01T07:00:00Z,2022-11-02T05:21:07Z,27706482_2,Shopping,EXPENSE,0,Root,-7629.18
8,MonthlyBudget,False,False,0.0,27706482_226884536,2022-09-01,114.37,30.0,False,OVERBUDGET,2022-09-01T07:00:00Z,2022-10-03T21:22:41Z,27706482_701,Groceries,EXPENSE,7,Food & Dining,
9,MonthlyBudget,False,False,0.0,27706482_226884537,2022-09-01,64.9,0.0,False,OVERBUDGET,2022-09-01T07:00:00Z,2022-10-03T21:22:12Z,27706482_707,Restaurants,EXPENSE,7,Food & Dining,
10,MonthlyBudget,False,False,0.0,27706482_226884538,2022-09-01,5270.06,80.0,False,UNDER,2022-09-01T07:00:00Z,2022-09-25T05:11:02Z,27706482_3001,Paycheck,INCOME,30,Income,
11,MonthlyBudget,True,False,0.0,27706482_226884535,2022-09-01,7679.18,50.0,False,OVERBUDGET,2022-09-01T07:00:00Z,2022-10-03T21:37:04Z,27706482_2,Shopping,EXPENSE,0,Root,-7625.95
12,MonthlyBudget,False,False,0.0,27706482_225822760,2022-08-01,116.04,30.0,False,OVERBUDGET,2022-08-01T07:00:00Z,2022-08-06T17:23:49Z,27706482_701,Groceries,EXPENSE,7,Food & Dining,
13,MonthlyBudget,False,False,0.0,27706482_225822759,2022-08-01,127.18,0.0,False,OVERBUDGET,2022-08-01T07:00:00Z,2022-10-03T21:24:33Z,27706482_707,Restaurants,EXPENSE,7,Food & Dining,
14,MonthlyBudget,False,False,0.0,27706482_225822758,2022-08-01,4630.9,80.0,False,UNDER,2022-08-01T07:00:00Z,2022-10-03T21:27:16Z,27706482_3001,Paycheck,INCOME,30,Income,
15,MonthlyBudget,True,False,0.0,27706482_225822757,2022-08-01,7675.95,50.0,False,OVERBUDGET,2022-08-01T07:00:00Z,2022-10-03T21:37:04Z,27706482_2,Shopping,EXPENSE,0,Root,-7501.33
16,MonthlyBudget,False,False,0.0,27706482_224318219,2022-07-01,163.92,30.0,False,OVERBUDGET,2022-07-01T07:00:00Z,2022-10-03T21:35:10Z,27706482_701,Groceries,EXPENSE,7,Food & Dining,
17,MonthlyBudget,False,False,0.0,27706482_224318221,2022-07-01,98.29,0.0,False,OVERBUDGET,2022-07-01T07:00:00Z,2022-10-03T21:37:23Z,27706482_707,Restaurants,EXPENSE,7,Food & Dining,
18,MonthlyBudget,False,False,0.0,27706482_224318220,2022-07-01,7960.73,80.0,False,UNDER,2022-07-01T07:00:00Z,2022-07-29T07:03:00Z,27706482_3001,Paycheck,INCOME,30,Income,
19,MonthlyBudget,True,False,0.0,27706482_224318218,2022-07-01,7551.33,50.0,False,OVERBUDGET,2022-07-01T07:00:00Z,2022-10-03T21:37:04Z,27706482_2,Shopping,EXPENSE,0,Root,-7195.99
20,MonthlyBudget,False,False,0.0,27706482_223742068,2022-06-01,415.06,30.0,False,OVERBUDGET,2022-06-01T07:00:00Z,2022-06-30T06:41:19Z,27706482_701,Groceries,EXPENSE,7,Food & Dining,
21,MonthlyBudget,False,False,0.0,27706482_223742067,2022-06-01,112.1,0.0,False,OVERBUDGET,2022-06-01T07:00:00Z,2022-10-03T21:39:14Z,27706482_707,Restaurants,EXPENSE,7,Food & Dining,
22,MonthlyBudget,False,False,0.0,27706482_223742069,2022-06-01,5301.88,80.0,False,UNDER,2022-06-01T07:00:00Z,2022-06-17T08:43:07Z,27706482_3001,Paycheck,INCOME,30,Income,
23,MonthlyBudget,True,False,0.0,27706482_223742066,2022-06-01,7245.99,50.0,False,OVERBUDGET,2022-06-01T07:00:00Z,2022-07-02T04:36:19Z,27706482_2,Shopping,EXPENSE,0,Root,-6134.0
24,MonthlyBudget,False,False,0.0,27706482_222233755,2022-05-01,168.56,30.0,False,OVERBUDGET,2022-05-01T07:00:00Z,2022-07-02T04:32:15Z,27706482_701,Groceries,EXPENSE,7,Food & Dining,
25,MonthlyBudget,False,False,0.0,27706482_222233756,2022-05-01,58.69,0.0,False,OVERBUDGET,2022-05-01T07:00:00Z,2022-07-02T04:32:33Z,27706482_707,Restaurants,EXPENSE,7,Food & Dining,
26,MonthlyBudget,False,False,0.0,27706482_222233757,2022-05-01,4098.74,80.0,False,UNDER,2022-05-01T07:00:00Z,2022-07-02T04:30:30Z,27706482_3001,Paycheck,INCOME,30,Income,
27,MonthlyBudget,True,False,0.0,27706482_222233754,2022-05-01,6184.0,50.0,False,OVERBUDGET,2022-05-01T07:00:00Z,2022-07-02T04:36:19Z,27706482_2,Shopping,EXPENSE,0,Root,-5903.25
28,MonthlyBudget,False,False,0.0,27706482_220760074,2022-04-01,221.39,30.0,False,OVERBUDGET,2022-04-01T07:00:00Z,2022-05-29T15:07:58Z,27706482_701,Groceries,EXPENSE,7,Food & Dining,
29,MonthlyBudget,False,False,0.0,27706482_220760071,2022-04-01,495.04,0.0,False,OVERBUDGET,2022-04-01T07:00:00Z,2022-05-29T15:07:58Z,27706482_707,Restaurants,EXPENSE,7,Food & Dining,
30,MonthlyBudget,False,False,0.0,27706482_220760072,2022-04-01,0.0,80.0,False,OVERBUDGET,2022-04-01T07:00:00Z,2022-03-31T08:35:27Z,27706482_3001,Paycheck,INCOME,30,Income,
31,MonthlyBudget,True,False,0.0,27706482_220760073,2022-04-01,5953.25,50.0,False,OVERBUDGET,2022-04-01T07:00:00Z,2022-07-02T04:36:19Z,27706482_2,Shopping,EXPENSE,0,Root,-5890.6
32,MonthlyBudget,False,False,0.0,27706482_219424627,2022-03-01,182.44,30.0,False,OVERBUDGET,2022-03-01T08:00:00Z,2022-04-30T22:56:32Z,27706482_701,Groceries,EXPENSE,7,Food & Dining,
33,MonthlyBudget,False,False,0.0,27706482_219424630,2022-03-01,159.72,0.0,False,OVERBUDGET,2022-03-01T08:00:00Z,2022-07-02T04:36:19Z,27706482_707,Restaurants,EXPENSE,7,Food & Dining,
34,MonthlyBudget,False,False,0.0,27706482_219424628,2022-03-01,3085.13,80.0,False,UNDER,2022-03-01T08:00:00Z,2022-03-30T05:47:28Z,27706482_3001,Paycheck,INCOME,30,Income,
35,MonthlyBudget,True,False,0.0,27706482_219424629,2022-03-01,5940.6,50.0,False,OVERBUDGET,2022-03-01T08:00:00Z,2022-07-02T04:36:19Z,27706482_2,Shopping,EXPENSE,0,Root,-5501.04
36,MonthlyBudget,False,False,0.0,27706482_218317322,2022-02-01,272.78,30.0,False,OVERBUDGET,2022-02-01T08:00:00Z,2022-02-12T06:39:07Z,27706482_701,Groceries,EXPENSE,7,Food & Dining,
