,type,id,accountId,date,description,amount,status,matchState,isReviewed,etag,isExpense,isPending,discretionaryType,isLinkedToRule,transactionReviewState,lastUpdatedDate,accountRef.id,accountRef.name,accountRef.type,accountRef.hiddenFromPlanningAndTrends,category.id,category.name,category.categoryType,category.parentId,category.parentName,fiData.date,fiData.amount,fiData.description,fiData.inferredDescription,fiData.inferredCategory.id,fiData.inferredCategory.name,merchantId,fiData.id,isDuplicate,checkNumber
0,CashAndCreditTransaction,27706482_2485202597_0,27706482_10373396,2022-11-04,94609 FORT ROBOT DIR DEP~ Future Amount: 2667.86 ~ Tran: DDI,2667.86,POSTED,NOT_MATCHED,False,1667686516000,False,False,NONE,False,UNREVIEWED,2022-11-05T22:15:16Z,10373396,Master Savings Account,BankAccount,False,27706482_3001,Paycheck,INCOME,27706482_30,Income,2022-11-04,2667.86,94609 FORT ROBOT DIR DEP~ Future Amount: 2667.86 ~ Tran: DDI,94609 FORT ROBOT DIR DEP~ Future Amount: 2667.86 ~ Tran: DDI,27706482_3001,Paycheck,,,,
1,CashAndCreditTransaction,27706482_2485173329_0,27706482_12591350,2022-11-04,76 - BARSTOW ENTERPRISES BARSTOW      CA ,-41.18,POSTED,NOT_MATCHED,False,1667675288000,True,False,NON_DISCRETIONARY,False,UNREVIEWED,2022-11-05T19:08:08Z,12591350,Travel Rewards Visa Signature - 4929,CreditAccount,False,27706482_1401,Gas & Fuel,EXPENSE,27706482_14,Auto & Transport,2022-11-04,-41.18,76 - BARSTOW ENTERPRISES BARSTOW      CA ,76 - BARSTOW ENTERPRISES BARSTOW      CA ,27706482_1401,Gas & Fuel,1002419845.0,006116458360020221019202211040001050546,,
2,CashAndCreditTransaction,27706482_2485173325_0,27706482_12591350,2022-11-04,Columbia 561             Barstow      CA ,-17.38,POSTED,NOT_MATCHED,False,1667675288000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-05T19:08:08Z,12591350,Travel Rewards Visa Signature - 4929,CreditAccount,False,27706482_201,Clothing,EXPENSE,27706482_2,Shopping,2022-11-04,-17.38,Columbia 561             Barstow      CA ,Columbia 561             Barstow      CA ,27706482_201,Clothing,,006116458360020221019202211040001050646,,
3,CashAndCreditTransaction,27706482_2485173330_0,27706482_12591350,2022-11-03,PEPBOYS STORE  972       VICTORVILLE  CA ,-500.9,POSTED,NOT_MATCHED,False,1667675288000,True,False,NON_DISCRETIONARY,False,UNREVIEWED,2022-11-05T19:08:08Z,12591350,Travel Rewards Visa Signature - 4929,CreditAccount,False,27706482_1403,Service & Parts,EXPENSE,27706482_14,Auto & Transport,2022-11-03,-500.9,PEPBOYS STORE  972       VICTORVILLE  CA ,PEPBOYS STORE  972       VICTORVILLE  CA ,27706482_1403,Service & Parts,1120.0,006116458360020221019202211030001103106,,
4,CashAndCreditTransaction,27706482_2485173328_0,27706482_12591350,2022-11-03,SUPER 8 MOTELS           760-9574156  CA ,-67.49,POSTED,NOT_MATCHED,False,1667675288000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-05T19:08:08Z,12591350,Travel Rewards Visa Signature - 4929,CreditAccount,False,27706482_1502,Hotel,EXPENSE,27706482_15,Travel,2022-11-03,-67.49,SUPER 8 MOTELS           760-9574156  CA ,SUPER 8 MOTELS           760-9574156  CA ,27706482_1502,Hotel,6080.0,006116458360020221019202211030001103306,,
5,CashAndCreditTransaction,27706482_2485173327_0,27706482_12591350,2022-11-03,LOLA'S KITCHEN           BARSTOW      CA ,-17.18,POSTED,NOT_MATCHED,False,1667675288000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-05T19:08:08Z,12591350,Travel Rewards Visa Signature - 4929,CreditAccount,False,27706482_707,Restaurants,EXPENSE,27706482_7,Food & Dining,2022-11-03,-17.18,LOLA'S KITCHEN           BARSTOW      CA ,LOLA'S KITCHEN           BARSTOW      CA ,27706482_707,Restaurants,1028483813.0,006116458360020221019202211030001103506,,
6,CashAndCreditTransaction,27706482_2485173324_0,27706482_12591350,2022-11-03,SUPER 8 MOTELS           760-9574156  CA ,-202.47,POSTED,NOT_MATCHED,False,1667675288000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-05T19:08:08Z,12591350,Travel Rewards Visa Signature - 4929,CreditAccount,False,27706482_1502,Hotel,EXPENSE,27706482_15,Travel,2022-11-03,-202.47,SUPER 8 MOTELS           760-9574156  CA ,SUPER 8 MOTELS           760-9574156  CA ,27706482_1502,Hotel,6080.0,006116458360020221019202211030001103206,,
7,CashAndCreditTransaction,27706482_2485173323_0,27706482_12591350,2022-11-03,CARLS JR 1100142         VICTORVILLE  CA ,-18.24,POSTED,NOT_MATCHED,False,1667675288000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-05T19:08:08Z,12591350,Travel Rewards Visa Signature - 4929,CreditAccount,False,27706482_706,Fast Food,EXPENSE,27706482_7,Food & Dining,2022-11-03,-18.24,CARLS JR 1100142         VICTORVILLE  CA ,CARLS JR 1100142         VICTORVILLE  CA ,27706482_706,Fast Food,3006.0,006116458360020221019202211030001103406,,
8,CashAndCreditTransaction,27706482_2485173322_0,27706482_12591350,2022-11-03,DINAPOLIS FIREHOUSE ITALIBARSTOW      CA ,-62.29,POSTED,NOT_MATCHED,False,1667675288000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-05T19:08:08Z,12591350,Travel Rewards Visa Signature - 4929,CreditAccount,False,27706482_707,Restaurants,EXPENSE,27706482_7,Food & Dining,2022-11-03,-62.29,DINAPOLIS FIREHOUSE ITALIBARSTOW      CA ,DINAPOLIS FIREHOUSE ITALIBARSTOW      CA ,27706482_707,Restaurants,1033904204.0,006116458360020221019202211030001103606,,
9,CashAndCreditTransaction,27706482_2484526534_0,27706482_12591350,2022-11-02,PRICELN*TVL PROTECT      800-774-2354 CT ,-65.0,POSTED,NOT_MATCHED,False,1667675288000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-05T19:08:08Z,12591350,Travel Rewards Visa Signature - 4929,CreditAccount,False,27706482_15,Travel,EXPENSE,27706482_0,Root,2022-11-02,-65.0,PRICELN*TVL PROTECT      800-774-2354 CT,PRICELN*TVL PROTECT      800-774-2354 CT ,27706482_15,Travel,,006116458360020221019202211020001108403,,
